year,date,confirm_add,confirm,heal,dead
2020,03.21,0,4,0,0
2020,03.22,1,5,0,0
2020,03.23,0,5,0,0
2020,03.24,6,6,0,0
2020,03.25,1,7,0,0
2020,03.26,1,8,0,0
2020,03.27,0,8,0,0
2020,03.28,2,8,0,0
2020,03.29,0,8,0,0
2020,03.30,0,8,0,0
2020,03.31,0,8,0,0
2020,04.01,2,10,0,0
2020,04.02,0,10,0,0
2020,04.03,0,10,0,0
2020,04.04,0,10,0,1
2020,04.05,0,10,0,1
2020,04.06,0,10,0,1
2020,04.07,0,10,0,1
2020,04.08,0,10,3,1
2020,04.09,0,10,4,1
2020,04.10,0,10,4,1
2020,04.11,0,10,4,1
2020,04.12,0,10,4,1
2020,04.13,0,10,4,1
2020,04.14,0,10,6,1
2020,04.15,0,10,6,1
2020,04.16,0,10,6,1
2020,04.17,0,10,6,1
2020,04.18,0,10,6,1
2020,04.19,0,10,6,1
2020,04.20,0,10,6,1
2020,04.21,0,10,6,1
2020,04.22,0,10,6,1
2020,04.23,0,10,6,1
2020,04.24,0,10,6,1
2020,04.25,0,10,7,1
2020,04.26,0,10,7,1
2020,04.27,0,10,7,1
2020,04.28,0,10,7,1
2020,04.29,0,10,7,1
2020,04.30,0,10,8,1
2020,05.01,0,10,8,1
2020,05.02,0,10,8,1
2020,05.03,0,10,8,1
2020,05.04,0,10,9,1
2020,05.05,0,10,9,1
2020,05.06,0,10,9,1
2020,05.07,0,10,9,1
2020,05.08,0,10,9,1
2020,05.09,0,10,9,1
2020,05.10,0,10,9,1
2020,05.11,0,10,9,1
2020,05.12,0,10,9,1
2020,05.13,0,10,9,1
2020,05.14,0,10,9,1
2020,05.15,0,10,9,1
2020,05.16,0,10,9,1
2020,05.17,0,10,9,1
2020,05.18,1,11,9,1
2020,05.19,0,11,9,1
2020,05.20,0,11,9,1
2020,05.21,0,11,9,1
2020,05.22,0,11,9,1
2020,05.23,0,11,9,1
2020,05.24,0,11,9,1
2020,05.25,0,11,9,1
2020,05.26,0,11,9,1
2020,05.27,0,11,9,1
2020,05.28,1,12,9,1
2020,05.29,0,12,9,1
2020,05.30,0,12,9,1
2020,05.31,2,14,9,1
2020,06.01,9,23,9,1
2020,06.02,21,44,9,1
2020,06.03,10,54,9,1
2020,06.04,20,74,9,1
2020,06.05,8,82,9,1
2020,06.06,9,91,9,1
2020,06.07,9,100,9,1
2020,06.08,22,122,9,1
2020,06.09,8,130,9,2
2020,06.10,7,137,9,2
2020,06.11,7,144,9,2
2020,06.12,24,168,9,2
2020,06.13,19,187,9,3
2020,06.14,9,196,9,3
2020,06.15,12,208,9,3
2020,06.16,21,229,48,5
2020,06.17,7,236,48,6
2020,06.18,25,261,48,6
2020,06.19,16,277,74,7
2020,06.20,16,293,74,8
2020,06.21,9,302,74,8
2020,06.22,12,314,106,8
